virus,realm,locus_tag,host,type,shape,corr,p.value
Leek yellow stripe virus,Riboviria,LyspVgp,land plants,RNA,linear,-0.437872589129164,0.000591111159702111
Wenzhou shrimp virus 10,Riboviria,BWS51,invertebrates,RNA,linear,0.0214494447691409,0.871668672029997
Alstroemeria necrotic streak virus,Riboviria,KM560,land plants,RNA,linear,-0.411279953243717,0.00132563497257419
Changjiang crawfish virus 6,Riboviria,BWV53,invertebrates,RNA,linear,-0.597662185856225,1.02027850780223e-06
Lactococcus phage 936 group phage Phi4.2,Duplodnaviria,HYO89,bacteria,DNA,linear,-0.562478082992402,5.30317397135089e-06
Lukuni virus,Riboviria,D1S37,invertebrates,RNA,linear,-0.533372296902396,1.85699498312457e-05
Mycobacterium phage Jobu08,Duplodnaviria,M611,bacteria,DNA,linear,0.498305084745763,7.38771600753816e-05
Melon chlorotic spot virus,Riboviria,F2Q10,land plants,RNA,linear,-0.405026300409118,0.00158894091320744
Shigella phage SHFML-11,Duplodnaviria,BH804,bacteria,DNA,linear,-0.542139099941555,1.28653759143863e-05
Human papillomavirus 140,Monodnaviria,A401,human,DNA,circular,-0.553828170660433,7.77714137187305e-06
Salmonella phage allotria,Duplodnaviria,HYQ31,bacteria,DNA,linear,-0.407831677381648,0.00146549631503642
Parus major densovirus,NA,BKN26,NA,DNA,linear,-0.495149035651666,8.31031899463318e-05
Sweet potato leaf curl Guangxi virus,Monodnaviria,JM63,land plants,DNA,circular,-0.390707188778492,0.00237704285311722
Nephila clavipes virus 1,Riboviria,EXL24,invertebrates,RNA,linear,-0.576855639976622,2.75185944678581e-06
Mycobacterium phage SkinnyPete,Duplodnaviria,FDG99,bacteria,DNA,linear,0.499649327878434,7.02429266226859e-05
Bovine leukemia virus,Riboviria,BLVgp01,human:vertebrates,RNA,linear,-0.126826417299825,0.337533146008107
Streptococcus virus 9873,Duplodnaviria,HOR14,bacteria,DNA,linear,-0.509234365867914,4.87465880901769e-05
Gordonia phage GordTnk2,Duplodnaviria,AXJ10,bacteria,DNA,linear,-0.0755698421975453,0.568511240026181
Streptomyces phage Paradiddles,Duplodnaviria,FDI37,bacteria,DNA,linear,-0.0538866160140269,0.684487025307752
Oat golden stripe virus,Riboviria,Ogsv,land plants,RNA,linear,-0.431794272355348,0.000714832387502633
Brevibacillus phage Abouo,Duplodnaviria,AVV45,bacteria,DNA,linear,-0.483459964932788,0.000127338451861378
Blechum interveinal chlorosis virus,Monodnaviria,D615,land plants,DNA,circular,-0.449620105201637,0.000405552508382909
Escherichia phage vB EcoM KWBSE43-6,NA,HOV43,NA,NA,NA,-0.317650496785506,0.0145596989547262
Beihai picorna-like virus 105,Riboviria,BVK34,invertebrates,RNA,linear,-0.525715955581531,2.54012105270815e-05
Pantoea phage LIMElight,Duplodnaviria,F370,bacteria,DNA,linear,0.0827586206896552,0.532203350176648
Hubei qinvirus-like virus 1,Riboviria,BWU43,invertebrates,RNA,linear,-0.0190531852717709,0.885922600882906
African elephant polyomavirus 1,Monodnaviria,AelPyV,vertebrates,DNA,circular,-0.506136762127411,5.49149687704901e-05
Siovirus germanense,Duplodnaviria,HWB27,bacteria,NA,NA,-0.291057860900058,0.0256708279844321
Thosea asigna virus,NA,FK947,NA,RNA,linear,-0.369199298655757,0.00422240428899352
Ryegrass mosaic virus,Riboviria,RgMVgp,land plants,RNA,linear,-0.380245470485096,0.00315756695797957
Mycobacterium phage Lolly9,Duplodnaviria,AVU99,bacteria,DNA,linear,0.265458796025716,0.0424537732429866
Phlebiopsis gigantea mycovirus dsRNA 1,Riboviria,NA,fungi,RNA,linear,-0.000701344243132671,0.995956075662455
Macacine gammaherpesvirus 4,Duplodnaviria,NA,vertebrates,DNA,circular,0.492869666861485,9.04158466794871e-05
Babaco mosaic virus,Riboviria,C1175,land plants,RNA,linear,-0.145061367621274,0.272200489307154
Tetterwort vein chlorosis virus,Riboviria,D1S64,land plants,RNA,linear,-0.559672706019872,6.01018946337339e-06
Beihai hermit crab virus 3,Riboviria,BVF19,invertebrates,RNA,linear,-0.29812974868498,0.0221772251832581
Estrildid finch bornavirus 1,Riboviria,D1O97,vertebrates,RNA,linear,-0.460900058445354,0.000279063919809989
Vibrio phage phiVC8,Duplodnaviria,phiVC8,bacteria,DNA,linear,-0.265984804208066,0.0420343921749779
Changjiang polero-like virus 1,Riboviria,BWV91,invertebrates,RNA,linear,0.0741087083576856,0.576030296160759
Aeromonas phage pAh6-C,Duplodnaviria,AH6C,bacteria,DNA,circular,0.0785505552308592,0.553316628047142
Mycobacterium phage GuuelaD,Duplodnaviria,J4T97,bacteria,DNA,linear,0.248977206312098,0.0574553963432568
Alteromonas phage vB AcoS-R7M,NA,HWD34,NA,NA,NA,-0.473582700175336,0.000180651014343998
Wuhan Ant Virus,Riboviria,BJD32,invertebrates,RNA,linear,-0.481765049678551,0.000135308860934619
Aedes camptorhynchus negev-like virus,unclassified viruses,CFB75,invertebrates,RNA,linear,-0.59427235534775,1.2033760021819e-06
Ralstonia phage GP4,Duplodnaviria,KMC52,bacteria,DNA,circular,0.488486265341905,0.000106173728419406
Mycobacterium phage TM4,Duplodnaviria,TM4,bacteria,DNA,linear,0.453185271770894,0.000360826647597037
Ageratum yellow vein China alphasatellite,Alphasatellitidae,BB05,land plants,DNA,circular,-0.411163062536528,0.00133017152363383
Salmonella phage vB SenS PHB07,NA,HOT01,NA,NA,NA,-0.445996493278784,0.000456144580264484
Mycobacterium phage Fionnbharth,Duplodnaviria,ACQ59,bacteria,DNA,linear,0.519696084161309,3.2343218269038e-05
Duck circovirus,Monodnaviria,DCVgp,vertebrates,DNA,circular,-0.0990064289888954,0.45461669253942
Dasheen mosaic virus,Riboviria,DsMVgp,land plants,RNA,linear,-0.50052600818235,6.79625855877871e-05
Rhodococcus phage REQ2,Duplodnaviria,RoPhREQ2,bacteria,DNA,linear,0.474108708357686,0.000177361445686248
Lactococcus phage PC S1,NA,KMD07,NA,NA,NA,-0.52250146113384,2.89138403151803e-05
Changjiang picorna-like virus 3,Riboviria,BWV38,invertebrates,RNA,linear,-0.548801870251315,9.67556704936218e-06
Escherichia phage Eps7,Duplodnaviria,AGC,bacteria,DNA,linear,-0.508182349503215,5.0765599055745e-05
Choristoneura fumiferana entomopoxvirus,NA,FK959,NA,DNA,linear,-0.552062505767634,1.00800586699957e-05
Biseptimavirus bv77,Duplodnaviria,ST77p,bacteria,NA,NA,-0.55698421975453,6.77010276001299e-06
Escherichia phage ZG49,Duplodnaviria,HOR28,bacteria,DNA,linear,-0.167036820572765,0.20549804221448
Suid alphaherpesvirus 1,Duplodnaviria,SuHV1,human:vertebrates,DNA,linear,0.49520748100526,8.29230790987142e-05
Chaetoceros tenuissimus RNA virus type-II,Riboviria,RM90,eukaryotic algae,RNA,linear,-0.562653419053185,5.26169162284629e-06
Gordonia phage Secretariat,Duplodnaviria,HWD32,bacteria,DNA,linear,0.183284628872005,0.164305275281777
Human papillomavirus 127,Monodnaviria,HPV127,human,DNA,circular,-0.577790765634132,2.63468511339772e-06
Odonata-associated circular virus-11,unclassified viruses,EXK19,invertebrates,DNA,circular,-0.543267259056733,2.08120374337349e-05
Hubei picorna-like virus 60,Riboviria,BWR95,invertebrates,RNA,linear,-0.493980128579778,8.67821386323002e-05
Xipdecavirus OP1,Duplodnaviria,OP1,bacteria,NA,NA,-0.233781414377557,0.0748679549125177
Whataroa virus,Riboviria,WHAV,invertebrates,RNA,linear,-0.209818819403857,0.110637222929582
Deerpox virus W-848-83,Varidnaviria,DpV83gp,vertebrates,DNA,linear,-0.575978959672706,2.86617149160853e-06
Tomato leaf curl Namakely virus,Monodnaviria,D1T25,land plants,DNA,linear,-0.378901227352426,0.00327286814626985
Beihai picorna-like virus 115,NA,BVK24,NA,RNA,linear,-0.485447106954997,0.00011854536531956
Streptococcus phage YMC-2011,Duplodnaviria,Ssal,bacteria,DNA,circular,-0.471420222092344,0.000194772096414296
Lymantria xylina nucleopolyhedrovirus,Naldaviricetes,LxMNPV,invertebrates,DNA,circular,0.192460549386324,0.143919890550629
Mastomys natalensis polyomavirus 3,Monodnaviria,KM751,vertebrates,DNA,circular,-0.463062536528346,0.000259406717390665
Turnip rosette virus,Riboviria,TRoVgp,land plants,RNA,linear,-0.382349503214495,0.00298435610779402
Phytophthora infestans RNA virus 2,Riboviria,EXL56,fungi,RNA,linear,-0.277966101694915,0.0333729916690689
Psychrobacter phage pOW20-A,Duplodnaviria,PSYG,bacteria,DNA,linear,-0.41291642314436,0.00126357208985683
Bat adenovirus 2,Varidnaviria,BatAdV2,vertebrates,DNA,linear,-0.0389246054938632,0.769227920341666
Tomato leaf curl virus-Pune-associated DNA beta,NA,TLCVDB,NA,DNA,circular,-0.353374929098128,0.0222281221009108
Enterococcus phage EfV12-phi1,Duplodnaviria,HOU42,bacteria,DNA,linear,-0.488895382817066,0.000104602413918379
Pelagibacter phage HTVC008M,Duplodnaviria,I899,bacteria,DNA,linear,-0.533138515488019,1.87502926937276e-05
Salmonella phage vB SenM-S16,NA,I133,NA,NA,NA,-0.559438924605494,6.07294313524597e-06
Mycobacterium phage Bruns,Duplodnaviria,CM08,bacteria,DNA,linear,0.506136762127411,5.49149687704901e-05
Hubei diptera virus 14,Riboviria,BWW08,invertebrates,RNA,linear,-0.526651081239042,2.44565182682474e-05
Torque teno midi virus 15,NA,D1P90,NA,DNA,circular,-0.41566950690578,0.00128831277309669
Mycobacterium phage MosMoris,Duplodnaviria,FH33,bacteria,DNA,linear,0.503214494447692,6.13893531406733e-05
Ustilaginoidea virens partitivirus 2,Riboviria,N398,fungi,RNA,linear,-0.34406779661017,0.00790571452856251
Turkey calicivirus,Riboviria,FLA49,vertebrates,RNA,linear,-0.327118644067797,0.011762829343994
Varroa mite associated virus 1,unclassified viruses,C5Y63,invertebrates,DNA,circular,-0.366686148451198,0.00450516812148953
Papaya cytorhabdovirus,Riboviria,KM668,land plants,RNA,linear,-0.376797194623028,0.00346088035833234
Salehabad virus,Riboviria,KM559,invertebrates,RNA,linear,-0.401987142022209,0.00173316535535394
Prochlorococcus phage Syn1,Duplodnaviria,Syn1,bacteria,DNA,linear,-0.433781414377557,0.000672014674631373
Fusarium poae virus 1-240374,Riboviria,BHR94,fungi,RNA,linear,-0.200751879699248,0.137688637544083
Listeria phage LP-125,Duplodnaviria,LP125,bacteria,DNA,linear,-0.503506721215664,6.07114874726571e-05
Mahlapitsi orthoreovirus,Riboviria,A6I63,invertebrates,RNA,linear,-0.451782583284629,0.00037785631562037
Adelaide River virus,Riboviria,ASN21,vertebrates,RNA,linear,-0.50718877849211,5.27433136978974e-05
Beet mild yellowing virus,Riboviria,BMYVgp,land plants,RNA,linear,-0.359263588544711,0.00544072888351416
Enterobacter phage PG7,Duplodnaviria,CG98,bacteria,DNA,linear,-0.489655172413793,0.000101741005937612
Microbacterium phage MonChoix,Duplodnaviria,H3N89,bacteria,DNA,linear,0.466569257744009,0.000230209201364876
Bradson virus,unclassified viruses,BLX28,invertebrates,RNA,linear,-0.519579193454121,3.24939950424301e-05
Okahandja mammarenavirus,Riboviria,ABY38,vertebrates,RNA,linear,-0.460958503798948,0.000278515192340189
Cercopithecine alphaherpesvirus 9,Duplodnaviria,ChV7gp,vertebrates,DNA,linear,-0.512098188194039,4.36211525927467e-05
Lactococcus phage 1358,Duplodnaviria,ABG43,bacteria,DNA,linear,-0.0402104032729398,0.761821730124306
Mesta yellow vein mosaic virus-associated DNA beta,Tolecusatellitidae,MYVMVDB,land plants,DNA,linear,-0.382739212007505,0.0153255597072821
Bat iflavirus,NA,B2K38,NA,RNA,linear,-0.47843366452367,0.000152328554939096
Nodularia phage vB NspS-kac68v161,NA,HWC13,NA,NA,NA,-0.601636469900643,8.39364680461993e-07
Beihai sipunculid worm virus 5,Riboviria,BVK76,invertebrates,RNA,linear,-0.364289888953828,0.00479028087966393
Lactococcus phage 20R03M,Duplodnaviria,KMC79,bacteria,DNA,linear,-0.520806545879603,3.0942907435371e-05
Oat sterile dwarf virus,Riboviria,D1R92,invertebrates:land plants,RNA,linear,-0.514611338398597,3.95397796110932e-05
Banana streak VN virus,Riboviria,BSVSAV,land plants,DNA,circular,-0.350672121566336,0.00673447688333215
Rousettus aegyptiacus polyomavirus 1,Monodnaviria,B5Z30,vertebrates,DNA,circular,-0.562336583715279,6.45154902465442e-06
Xinzhou nematode virus 4,Riboviria,B1U14,invertebrates,RNA,linear,-0.44886031560491,0.000415715233499188
Bacillus phage vB BthP-Goe4,NA,H3015,NA,NA,NA,-0.562478082992402,5.30317397135089e-06
Hubei toti-like virus 5,Riboviria,BWU63,invertebrates,RNA,linear,-0.173173582700175,0.189152515247396
Pseudomonas phage PaBG,Duplodnaviria,O152,bacteria,DNA,circular,0.271244886031561,0.0380263362173265
Amphibola crenata associated bacilladnavirus 1,Monodnaviria,B1T99,invertebrates,DNA,circular,-0.455990648743425,0.000328852992510406
Mycobacterium phage Perseus,Duplodnaviria,CL67,bacteria,DNA,linear,0.493571011104617,8.8104891618676e-05
Salmonella phage vB SenS SB13,NA,HWC37,NA,NA,NA,-0.52875511396844,2.24492399108616e-05
Mycobacterium phage Mova,NA,I5H68,NA,DNA,linear,0.427819988310929,0.0008079812938581
Sanxia water strider virus 20,Riboviria,BWU06,invertebrates,RNA,linear,-0.27270601987142,0.0369712580555974
Dinoroseobacter phage vB DshS-R5C,NA,FDH38,NA,NA,NA,0.416423144360023,0.00113932482875043
Gayfeather mild mottle virus,Riboviria,GfMMV,land plants,RNA,linear,-0.369491525423729,0.0041905690103092
Feldmannia species virus,Varidnaviria,FeldSpV,eukaryotic algae,DNA,linear,0.130216247808299,0.324696144917665
Stenotrophomonas phage S1,Duplodnaviria,StPS1,bacteria,DNA,linear,0.469549970777323,0.000207794609695308
Bean leafroll virus,Riboviria,BLRVgp,land plants,RNA,linear,-0.43968439509059,0.000558199618721637
Peromyscus papillomavirus 1,Monodnaviria,D1U38,vertebrates,DNA,circular,-0.428053769725307,0.000802211217873256
Yogue virus,Riboviria,A6B03,vertebrates,RNA,linear,-0.429631794272355,0.000764230675258404
Equid alphaherpesvirus 3,Duplodnaviria,KW74,vertebrates,DNA,linear,0.479427235534775,0.000147057124937969
Klebsiella phage AltoGao,Duplodnaviria,HOS00,bacteria,DNA,linear,-0.037229690239626,0.779022148620422
Escherichia phage JES2013,Duplodnaviria,P766,bacteria,DNA,linear,-0.49187609585038,9.37855589540847e-05
Wenzhou picorna-like virus 15,Riboviria,BWS95,invertebrates,RNA,linear,-0.4645821157218,0.000246361418639874
Gordonia phage Twister6,Duplodnaviria,BI083,bacteria,DNA,linear,0.48375219170076,0.000126008756049338
Porcine bocavirus H18,Monodnaviria,D1R56,vertebrates,DNA,linear,-0.421917007597896,0.000966739685309782
Mycobacterium Phage Niklas,Duplodnaviria,I5H04,bacteria,DNA,linear,0.541554646405611,1.31877110562928e-05
Spartina mottle virus,Riboviria,FK919,land plants,RNA,linear,-0.427727706173675,0.000901371326605041
Ligustrum virus A,Riboviria,BI088,land plants,RNA,linear,-0.524956165984804,2.61936582868641e-05
Hop mosaic virus,Riboviria,HpMV,land plants,RNA,linear,-0.32969023962595,0.0110889207378398
Odonata-associated circular virus-2,unclassified viruses,EXJ49,invertebrates,DNA,circular,-0.429254955570745,0.00106724021976515
Flamingopox virus FGPVKD09,Varidnaviria,C1178,vertebrates,DNA,linear,-0.590648743424898,1.43349152587052e-06
Vibrio phage Ceto,Duplodnaviria,FDJ19,bacteria,DNA,linear,-0.557218001168907,6.70060120956191e-06
Wenzhou picorna-like virus 27,Riboviria,BWS82,invertebrates,RNA,linear,-0.0777323202805377,0.557468210039839
Vibrio phage Vp670,Duplodnaviria,HOR54,bacteria,DNA,linear,-0.460081823495032,0.000286850743801899
Marituba virus,Riboviria,CAU78,human:invertebrates:vertebrates,RNA,linear,-0.507305669199299,5.25069926761723e-05
Vibrio phage VpV262,Duplodnaviria,VpV262p,bacteria,DNA,circular,-0.22875511396844,0.0814784756393366
Rice virus A,Riboviria,CKM62,land plants,RNA,linear,-0.274693161893629,0.0355756285154143
Clanis bilineata nucleopolyhedrovirus,NA,CBNV,NA,DNA,linear,-0.490824079485681,9.74795042970166e-05
Chino del tomate Amazonas virus,Monodnaviria,D1Q66,land plants,DNA,linear,-0.184921098772648,0.16052160892221
Bacillus phage BeachBum,Duplodnaviria,H3010,bacteria,DNA,linear,-0.535827001753361,1.67715462886369e-05
Sweet potato leaf curl Shanghai virus,Monodnaviria,P359,land plants,DNA,circular,-0.381823495032145,0.00302684468812573
Mycobacterium phage WIVsmall,Duplodnaviria,M184,bacteria,DNA,linear,0.394623027469316,0.00213261795654617
Macrobrachium rosenbergii nodavirus,Riboviria,MRNV,invertebrates,RNA,linear,-0.505552308591467,5.61569285718407e-05
Mycobacterium phage Tiger,Duplodnaviria,FDI11,bacteria,DNA,linear,0.493161893629457,8.94462333096773e-05
Corriparta virus,Riboviria,D1R83,invertebrates,RNA,linear,-0.42437171244886,0.000897576412722617
Sugarcane streak virus,Monodnaviria,SSVgp,land plants,DNA,circular,-0.24943861699837,0.0592128415197138
Mycobacterium phage Dusk,Duplodnaviria,SEA,bacteria,DNA,linear,0.47469316189363,0.000173770966814294
Biratnagar virus,NA,B5C20,NA,RNA,linear,-0.46697837521917,0.000227006735208972
Klebsiella phage vB KpnP P184,NA,KNV77,NA,NA,NA,-0.407656341320865,0.0014729506843932
Indian encephalitis associated cyclovirus,Monodnaviria,BV374p,human,DNA,circular,-0.474607031898859,0.000198899311429183
Microplitis demolitor bracovirus,Polydnaviridae,MdBV,invertebrates,DNA,circular,-0.463179427235535,0.000258381207300419
Microplitis demolitor bracovirus,Polydnaviridae,MdBV,invertebrates,DNA,linear,-0.463179427235535,0.000258381207300419
Aeromonas phage 65,Duplodnaviria,ST65p,bacteria,DNA,linear,-0.529456458211572,2.18149938786825e-05
Pseudomonas phage Lana,Duplodnaviria,HOV23,bacteria,DNA,linear,0.418877849210988,0.00105903792944291
Aimelvirus 2,NA,CGU91,NA,RNA,linear,-0.41291642314436,0.00126357208985683
Desmodus rotundus endogenous retrovirus,Riboviria,ABA94,vertebrates,DNA,linear,-0.403740502630041,0.00164858587552458
Yersinia phage vB YenP AP10,NA,AU149,NA,NA,NA,-0.065166569257744,0.623018045340204
Kibale red colobus virus 2,Riboviria,CAU76,vertebrates,RNA,linear,-0.441788427819988,0.000522078105601231
Grapevine satellite virus,Riboviria,M524,land plants,RNA,linear,-0.430840031112263,0.000914134077663368
Leanyer virus,Riboviria,FLA89,invertebrates,RNA,linear,-0.489070718877849,0.000103935580155859
Groundnut ringspot and Tomato chlorotic spot virus reassortant,Riboviria,LGMTSG,land plants,RNA,linear,-0.452074810052601,0.000374249095194232
Groundnut yellow spot virus,Riboviria,FK939,land plants,RNA,linear,-0.42447026657553,0.00122638177679672
Hubei arthropod virus 1,Riboviria,BWW23,invertebrates,RNA,linear,-0.435827001753361,0.000630383941182972
Mycobacterium phage RockyHorror,Duplodnaviria,FGG57,bacteria,DNA,linear,0.411630625365284,0.00131210893387206
Pseudomonas phage vB PaeP C2-10 Ab09,NA,FG40,NA,NA,NA,0.210695499707773,0.109129611502797
Mycobacterium phage Paito,Duplodnaviria,KDW68,bacteria,DNA,linear,0.497662185856225,7.56760042933541e-05
Feldmannia irregularis virus a,NA,FK951,NA,DNA,linear,-0.0751607247223846,0.57061193399277
Beihai shrimp virus 4,Riboviria,BVK83,invertebrates,RNA,linear,-0.269491525423729,0.0393254117728697
Sanxia narna-like virus 1,Riboviria,BWU37,invertebrates,RNA,linear,-0.277907656341321,0.033411298371641
Pseudoalteromonas phage C5a,Duplodnaviria,HOR41,bacteria,DNA,linear,-0.461893629456458,0.000269868835886586
Hubei picorna-like virus 62,Riboviria,BWR93,invertebrates,RNA,linear,-0.384979544126242,0.00277979345237021
Raoultella phage RP180,Duplodnaviria,HOV38,bacteria,DNA,linear,-0.282407948568089,0.0305674324071154
Pseudomonas phage vB PaeP C2-10 Ab22,NA,VC51,NA,NA,NA,0.0640561075394506,0.628965028851638
Sida mosaic Bolivia virus 2,Monodnaviria,SiMBoV2,land plants,DNA,circular,-0.386674459380479,0.00265469345646068
Paspalum dilatatum striate mosaic virus,Monodnaviria,C413,land plants,DNA,circular,-0.188661601402689,0.152116131101585
Escherichia phage Skarpretter,Duplodnaviria,HOU67,bacteria,DNA,linear,0.131794272355348,0.318827998318857
Cyclovirus PKgoat11/PAK/2009,Monodnaviria,CyCV,vertebrates,DNA,circular,-0.581063705435418,2.26066837475721e-06
Bacillus phage DirtyBetty,Duplodnaviria,BIZ88,bacteria,DNA,linear,-0.482583284628872,0.000131405448260914
Karumba virus,Riboviria,CFB61,invertebrates,RNA,linear,-0.371420222092344,0.00398574594954294
